Project,Language,Identifier Type,Identifier Name,Length,MC
synthetic-bad,Java,variable,fsfOkKE,7,0.85
synthetic-bad,Python,class,AwTEtuyN,8,1
synthetic-bad,Python,variable,iEHfAIpC,8,0.85
synthetic-bad,JavaScript,class,cEyThabxeO,10,1
synthetic-bad,Java,variable,LTioRuE,7,1
synthetic-bad,C#,variable,aa43535,7,0.75
synthetic-bad,C#,function,i4403aoa,8,0.75
synthetic-bad,C#,function,QardozgaO,9,0.75
synthetic-bad,JavaScript,class,aiaiso3o,8,1
synthetic-bad,Java,function,aaXARKEnyr,10,0.75
synthetic-bad,Python,variable,tLcPIeUt,8,0.85
synthetic-bad,C#,function,dEmAummA,8,0.75
synthetic-bad,C#,class,a154aos,7,1
synthetic-bad,JavaScript,variable,VICPOeCCD,9,0.9
synthetic-bad,Java,variable,QnfIeLf,7,0.85
synthetic-bad,C#,function,ai130io,7,1
synthetic-bad,JavaScript,function,oo011iae,8,0.8
synthetic-bad,C#,class,gYEDNUUn,8,1
synthetic-bad,Java,variable,JdSUEzpZoF,10,0.85
synthetic-bad,Java,function,EnbApRImnX,10,0.85
synthetic-bad,JavaScript,variable,eoo544s,7,0.65
synthetic-bad,Python,variable,boETZlu,7,0.85
synthetic-bad,C#,class,ALaNwNUC,8,1
synthetic-bad,C#,function,EUGnpaDDhNIN,12,0.85
synthetic-bad,JavaScript,class,uPUnxtbaTri,11,1
synthetic-bad,C#,class,MlruaaSreJEGi,13,0.9
synthetic-bad,Python,function,yMZeeljFoRhEl,13,0.75
synthetic-bad,C#,variable,TqQeEaRPoCi,11,0.85
synthetic-bad,Java,function,upIInhoETR,10,0.85
synthetic-bad,JavaScript,function,owAfEuFROut,11,0.85
synthetic-bad,Python,variable,saaii1e,7,0.9
synthetic-bad,JavaScript,variable,FKeallctOtpVin,14,0.8
synthetic-bad,Java,function,ndOOigmz,8,0.85
synthetic-bad,Java,class,aiae15e,7,1
synthetic-bad,Python,class,xdOrstuF,8,1
synthetic-bad,JavaScript,class,NaTuyFIIO,9,0.9
synthetic-bad,JavaScript,variable,QcbaQuS,7,0.85
synthetic-bad,JavaScript,function,vzAUtsXT,8,0.85
synthetic-bad,JavaScript,variable,mezdOAwH,8,0.85
synthetic-bad,JavaScript,class,XleRBuxd,8,1
synthetic-bad,C#,class,oltZOao,7,1
synthetic-bad,C#,variable,LJEAMefzW,9,0.85
synthetic-bad,JavaScript,variable,sea35eo,7,1
synthetic-bad,JavaScript,class,oas5soa,7,1
synthetic-bad,C#,variable,WiKerOcINeDA,12,1
synthetic-bad,C#,class,ORnEvLm,7,1
synthetic-bad,C#,function,o54eesaa,8,0.75
synthetic-bad,C#,function,AoZOPliFe,9,0.85
synthetic-bad,Python,class,isoe405s,8,1
synthetic-bad,JavaScript,function,VEctKKEqN,9,0.75
synthetic-bad,C#,class,teeLtBOK,8,0.9
synthetic-bad,Java,function,zTuliBthu,9,0.85
synthetic-bad,C#,variable,lsPotMoVD,9,0.85
synthetic-bad,JavaScript,variable,qAXXKeGSUCS,11,0.75
synthetic-bad,JavaScript,function,ai14oos,7,0.9
synthetic-bad,Python,variable,jsLeXPvQE,9,0.85
synthetic-bad,JavaScript,function,eQkIgpef,8,0.85
synthetic-bad,C#,function,DMcEDfxERX,10,1
synthetic-bad,JavaScript,class,hgioBSNvOnUsL,13,1
synthetic-bad,C#,class,TyOtkfU,7,1
synthetic-bad,JavaScript,class,eFtiuCTDUn,10,1
synthetic-bad,Java,variable,UUxCApu,7,0.85
synthetic-bad,C#,function,gATJmKI,7,0.85
synthetic-bad,Java,class,UMEDGaDygseFkzk,15,1
synthetic-bad,Python,class,TNOnReKs,8,1
synthetic-bad,C#,function,VuRCTisMR,9,1
synthetic-bad,Java,function,soiasi0a,8,0.85
synthetic-bad,JavaScript,function,sa443as,7,0.75
synthetic-bad,C#,variable,JHWjEMSe,8,0.85
synthetic-bad,JavaScript,variable,NvOcLLED,8,0.9
synthetic-bad,Java,variable,CydIFBVaWO,10,1
synthetic-bad,Java,class,ElYSowKH,8,1
synthetic-bad,Python,variable,OAuTpteq,8,0.85
synthetic-bad,C#,class,UHReskrs,8,1
synthetic-bad,JavaScript,class,oGOmfmiZ,8,1
synthetic-bad,C#,function,ssoeo0o,7,0.75
synthetic-bad,JavaScript,function,fUhUrEM,7,0.85
synthetic-bad,Python,function,ss0oios,7,0.75
synthetic-bad,C#,function,KKepMIORGu,10,0.85
synthetic-bad,JavaScript,class,i51oees,7,0.9
synthetic-bad,Java,variable,lOTIEWKBh,9,1
synthetic-bad,Java,variable,lYgcerCevPK,11,1
synthetic-bad,JavaScript,variable,JELroRud,8,0.85
synthetic-bad,Python,function,CeHpbRANovpz,12,1
synthetic-bad,JavaScript,variable,oao343i,7,0.85
synthetic-bad,Python,function,BUnYkEICHS,10,0.85
synthetic-bad,C#,class,OfSKheIrZD,10,1
synthetic-bad,C#,function,lPIiGATWOEu,11,0.85
synthetic-bad,C#,variable,ogIceOmo,8,0.85
synthetic-bad,Java,function,fPtOaNTHesIE,12,0.85
synthetic-bad,Python,class,o4aasooi,8,0.9
synthetic-bad,Java,class,ee5sesos,8,0.9
synthetic-bad,JavaScript,class,RsPInvAjoGvhv,13,1
synthetic-bad,JavaScript,function,dHBOloRlDXIN,12,0.85
synthetic-bad,JavaScript,class,rjByiDSLuF,10,1
synthetic-bad,Python,function,eeoo33so,8,0.65
synthetic-bad,JavaScript,variable,inQBmum,7,0.85
synthetic-bad,Java,function,si51oaa,7,0.75
synthetic-bad,JavaScript,variable,e14ooao,7,0.75
synthetic-bad,C#,function,osses3s,7,0.75
synthetic-bad,C#,class,s31saos,7,1
synthetic-bad,Python,variable,hrEOOjZU,8,0.85
synthetic-bad,Python,variable,oxVAkboy,8,1
synthetic-bad,Java,class,UrCATHqD,8,1
synthetic-bad,JavaScript,class,LESUqkvl,8,1
synthetic-bad,JavaScript,function,dnTPuUkP,8,1
synthetic-bad,Python,variable,nnluloKTdlIcDeDF,16,0.9
synthetic-bad,Java,class,aooa43e,7,0.9
synthetic-bad,Java,variable,aesa15a,7,0.85
synthetic-bad,C#,function,HUgizkk,7,0.75
synthetic-bad,Java,class,qHEVALnELTYL,12,1
synthetic-bad,Python,function,laOTTrpEtALD,12,0.85
synthetic-bad,Python,class,HmTiaTDoDXS,11,1
synthetic-bad,Python,function,difgAsRIaREGej,14,0.85
synthetic-bad,Python,variable,aaa1304o,8,0.9
synthetic-bad,C#,variable,LecLjUH,7,0.85
synthetic-bad,Java,variable,hsUOSJA,7,0.85
synthetic-bad,Java,class,oooe40a,7,0.9
synthetic-bad,C#,class,TmUerUFXX,9,0.9
synthetic-bad,C#,class,KlenaTMEImeyylK,15,0.9
synthetic-bad,JavaScript,variable,EuVdmISTOPOSIh,14,0.75
synthetic-bad,JavaScript,function,rnrIbuiG,8,0.85
synthetic-bad,Python,class,urXaMpX,7,1
synthetic-bad,Java,function,i500oea,7,0.75
synthetic-bad,Java,class,uRyEAGIWf,9,1
synthetic-bad,C#,class,meCOuBaEgbYsib,14,1
synthetic-bad,C#,variable,aumiBSub,8,0.85
synthetic-bad,Java,function,eeso343a,8,0.75
synthetic-bad,Python,function,uSatYeAywOW,11,0.85
synthetic-bad,Python,function,aosi4is,7,0.85
synthetic-bad,C#,class,ea15sis,7,1
synthetic-bad,Python,class,mosBidC,7,1
synthetic-bad,Java,class,UHDFfABO,8,1
synthetic-bad,C#,function,TSNWInkkEquLi,13,0.75
synthetic-bad,JavaScript,function,isi335e,7,0.75
synthetic-bad,JavaScript,function,iesia1o,7,0.85
synthetic-bad,Python,function,iaiei4ss,8,0.75
synthetic-bad,JavaScript,function,KqDEeuV,7,1
synthetic-bad,C#,class,JRloaSSedxgW,12,1
synthetic-bad,Java,function,hmTajIAsC,9,0.85
synthetic-bad,C#,function,aao43ai,7,0.75
synthetic-bad,Python,class,zuzDRAiTEvYATEvR,16,0.9
synthetic-bad,Python,function,WbVisoMaRF,10,0.85
synthetic-bad,C#,function,aea03eos,8,0.85
synthetic-bad,Python,function,PNISIrAjI,9,0.85
synthetic-bad,Java,variable,DpIdabNgHOO,11,0.9
synthetic-bad,JavaScript,function,uSAlYMEaBEd,11,0.85
synthetic-bad,JavaScript,function,xViFkEadUCkRu,13,0.85
synthetic-bad,Java,class,OAXdTroyyG,10,0.9
synthetic-bad,JavaScript,variable,QBfiALBSICW,11,0.9
synthetic-bad,Python,variable,yiKrMWIt,8,1
synthetic-bad,Java,variable,xcHOEoj,7,0.85
synthetic-bad,JavaScript,function,ie30311,7,0.75
synthetic-bad,Python,function,TeOuETZ,7,0.85
synthetic-bad,Python,variable,oi11005o,8,0.75
synthetic-bad,Java,variable,PNUfastLIIg,11,0.85
synthetic-bad,JavaScript,function,IsEnflY,7,0.85
synthetic-bad,JavaScript,class,jgauIEENgRG,11,0.9
synthetic-bad,Python,variable,ZvOeOEF,7,1
synthetic-bad,Java,variable,eMApDbJoC,9,0.85
synthetic-bad,Python,function,oMKMeTAbrzC,11,0.85
synthetic-bad,Java,function,nILnAGY,7,0.85
synthetic-bad,JavaScript,class,oi5433o,7,0.9
synthetic-bad,JavaScript,class,aii03si,7,0.9
synthetic-bad,JavaScript,variable,YBsIGiFp,8,0.85
synthetic-bad,Java,class,RMIErlEsTEIqiUjH,16,1
synthetic-bad,C#,variable,s4401ia,7,0.75
synthetic-bad,C#,class,os510sa,7,1
synthetic-bad,C#,class,e00asio,7,0.9
synthetic-bad,JavaScript,variable,iooosa3a,8,0.75
synthetic-bad,Python,class,QuroLSmzEdPa,12,1
synthetic-bad,Python,class,hUVxTno,7,1
synthetic-bad,JavaScript,class,bDxdibBSraYsr,13,1
synthetic-bad,JavaScript,variable,oee141o,7,0.75
synthetic-bad,Java,function,fwLAsTON,8,0.85
synthetic-bad,Java,function,xaJZlzOmBodejzb,15,0.75
synthetic-bad,JavaScript,variable,WEdVEDiB,8,0.85
synthetic-bad,JavaScript,variable,smYpeIN,7,1
synthetic-bad,Java,function,URfUVotSn,9,0.75
synthetic-bad,Python,variable,TEwJAnLoETTiB,13,1
synthetic-bad,C#,variable,LWkCuaW,7,1
synthetic-bad,JavaScript,function,isa5533,7,0.75
synthetic-bad,Python,variable,DJcaiNyL,8,0.85
synthetic-bad,Java,function,pAmlutPNrOtIge,14,0.85
synthetic-bad,C#,class,LfIDlMOuwTomOsz,15,1
synthetic-bad,JavaScript,class,isaa4ae,7,0.9
synthetic-bad,Java,function,ii545ao,7,0.75
synthetic-bad,Python,class,BUnQTaIR,8,1
synthetic-bad,JavaScript,function,VOfvDaiSOo,10,0.85
synthetic-bad,C#,function,aaa035o,7,0.75
synthetic-bad,Java,variable,trZPIAuPg,9,0.85
synthetic-bad,Java,variable,UZfOrxth,8,0.85
synthetic-bad,JavaScript,class,xzmAbutPr,9,1
synthetic-bad,C#,function,KlWNEgIaLdy,11,0.85
synthetic-bad,Java,function,sxsonED,7,0.85
synthetic-bad,Java,function,o1301ai,7,0.85
synthetic-bad,C#,function,UDEOYwT,7,0.85
synthetic-bad,C#,function,PrAjADMuNNAAzw,14,0.75
synthetic-bad,C#,class,qHENpMaO,8,1
synthetic-bad,Python,function,yFoOBsd,7,0.85
synthetic-bad,Python,function,s1450aes,8,0.85
synthetic-bad,JavaScript,class,rfAZzwiD,8,1
synthetic-bad,C#,function,SOyyeBOXui,10,0.75
synthetic-bad,Python,variable,ROlpJWE,7,1
synthetic-bad,JavaScript,function,oo10004,7,0.8
synthetic-bad,Python,class,QHroDIUtwiXxK,13,1
synthetic-bad,JavaScript,class,aaio35e,7,0.9
synthetic-bad,Python,variable,eaaCpOtFjY,10,0.75
synthetic-bad,C#,class,rIOnjVk,7,1
synthetic-bad,Java,variable,uRuRuCGS,8,0.9
synthetic-bad,Python,variable,dberMeR,7,0.85
synthetic-bad,Python,class,iai033o,7,0.9
synthetic-bad,Java,function,dAYOTFsK,8,0.85
synthetic-bad,Java,variable,e000sia,7,0.75
synthetic-bad,Java,variable,IeeHkErRixEyHfW,15,0.75
synthetic-bad,Java,function,phUDAeV,7,0.85
synthetic-bad,Python,function,bUmiaMZ,7,0.85
synthetic-bad,Java,function,AIRPIlvS,8,0.85
synthetic-bad,C#,variable,NYiRZAi,7,0.85
synthetic-bad,JavaScript,variable,ZAsrdSA,7,1
synthetic-bad,Java,class,e10335i,7,0.9
synthetic-bad,Java,class,EKaPacwEJ,9,1
synthetic-bad,Python,class,BERLtES,7,1
synthetic-bad,Python,class,o344aias,8,0.9
synthetic-bad,Java,class,ssssi4aa,8,0.8
synthetic-bad,JavaScript,function,CbuSeETL,8,1
synthetic-bad,C#,function,rFIchIS,7,1
synthetic-bad,Python,function,AofDIvQ,7,0.85
synthetic-bad,JavaScript,class,osses53o,8,0.9
synthetic-bad,JavaScript,function,gcMIRiOVvT,10,0.85
synthetic-bad,Java,function,ztefThFOaVEShh,14,0.75
synthetic-bad,JavaScript,variable,o1osieo,7,0.85
synthetic-bad,C#,variable,ostsovpyxEE,11,0.65
synthetic-bad,Python,variable,TzgEYvaLhRANMy,14,0.85
synthetic-bad,Python,class,uEYEnhN,7,1
synthetic-bad,C#,variable,DinGyhUoY,9,1
synthetic-bad,Python,variable,QkHNeVEJvieZoU,14,0.85
synthetic-bad,Java,variable,iosa414a,8,0.85
synthetic-bad,C#,class,riRNimAbmB,10,1
synthetic-bad,Java,variable,MDGonOUnrp,10,0.85
synthetic-bad,JavaScript,function,ai0aass,7,0.9
synthetic-bad,JavaScript,variable,OEasCqt,7,0.85
synthetic-bad,Java,variable,KTumEWzQk,9,1
synthetic-bad,Java,variable,tsTEPgMEqFw,11,1
synthetic-bad,Java,class,FAIcIZwm,8,1
synthetic-bad,C#,class,HXiBdeRx,8,1
synthetic-bad,Python,variable,eprNoOrtRk,10,1
synthetic-bad,Python,class,zEsOSvCL,8,1
synthetic-bad,C#,function,AAkUPcOvRw,10,0.85
synthetic-bad,Java,class,e50oasi,7,1
synthetic-bad,Java,class,jpeWekaItHL,11,1
synthetic-bad,C#,variable,saaeo3s,7,0.75
synthetic-bad,JavaScript,class,BrYKIwAX,8,1
synthetic-bad,Java,class,io3isoa,7,1
synthetic-bad,Python,class,EfxeavaR,8,0.9
synthetic-bad,JavaScript,variable,TsMumAwCbt,10,0.85
synthetic-bad,Python,variable,aa553103,8,0.65
synthetic-bad,C#,function,ozSCwAI,7,1
synthetic-bad,JavaScript,class,sae310ia,8,1
synthetic-bad,JavaScript,function,POInWSAshU,10,0.85
synthetic-bad,Python,class,mWCuDCTRIcGd,12,1
synthetic-bad,JavaScript,class,AvmMeaGnWi,10,1
synthetic-bad,Java,class,e40410e,7,0.9
synthetic-bad,Python,variable,BzqSIsIlPLZ,11,1
synthetic-bad,Java,class,es30osa,7,1
synthetic-bad,C#,function,AyEYDXbERtRer,13,0.85
synthetic-bad,Java,variable,hFUpLuBq,8,0.85
synthetic-bad,C#,variable,ErEaHizak,9,0.85
synthetic-bad,C#,function,PMCiaeU,7,0.85
synthetic-bad,JavaScript,variable,ELsVeLWO,8,1
synthetic-bad,Python,variable,rsIiehi,7,0.85
synthetic-bad,Python,variable,aa013as,7,0.75
synthetic-bad,Java,function,ia3osoa,7,0.85
synthetic-bad,C#,function,iIsVadyASOCOjb,14,0.85
synthetic-bad,JavaScript,variable,loVabGZX,8,0.85
synthetic-bad,Python,class,esos45oe,8,1
synthetic-bad,Java,function,PzuIeVL,7,1
synthetic-bad,Java,variable,iSBASyf,7,0.85
synthetic-bad,C#,class,siai5so,7,1
synthetic-bad,JavaScript,function,VtZeAjQ,7,1
synthetic-bad,JavaScript,class,ai4004ee,8,0.8
synthetic-bad,Python,class,iARYRWAVfkS,11,1
synthetic-bad,C#,function,runPChoOVJurM,13,1
synthetic-bad,Java,variable,xrsaBveRLQaph,13,0.85
synthetic-bad,Python,variable,vCiopcYRIv,10,0.85
synthetic-bad,Python,variable,RRTaNoMbIckL,12,0.9
synthetic-bad,JavaScript,class,eaise5o,7,1
synthetic-bad,JavaScript,function,yESIgUQz,8,0.85
synthetic-bad,Java,function,e01aoess,8,0.75
synthetic-bad,Python,class,oPEGbZd,7,1
synthetic-bad,Python,class,io00133e,8,0.9
synthetic-bad,JavaScript,class,ee53031,7,0.9
synthetic-bad,C#,class,i50110o,7,0.9
synthetic-bad,Java,class,ei3500s,7,0.9
synthetic-bad,Java,variable,HUedSpIUSfH,11,0.9
synthetic-bad,C#,class,oaaoi1s,7,0.9
synthetic-bad,Java,class,qzuiXPaCl,9,1
synthetic-bad,Java,function,QEYzhOL,7,0.85
synthetic-bad,JavaScript,variable,aa353oe,7,0.75
synthetic-bad,Python,function,KEhOenbO,8,0.85
synthetic-bad,JavaScript,class,bgDiFoHLi,9,1
synthetic-bad,JavaScript,class,ia034os,7,1
synthetic-bad,Python,class,OAdIoiLNW,9,1
synthetic-bad,JavaScript,function,oe50ooao,8,0.75
synthetic-bad,Java,function,se0055a,7,0.75
synthetic-bad,Python,variable,PVaRTzURj,9,1
synthetic-bad,Python,variable,oe01133e,8,0.75
synthetic-bad,JavaScript,class,zZeTSwaByZGii,13,0.9
synthetic-bad,C#,class,FTshEQApE,9,1
synthetic-bad,JavaScript,class,e05ooai,7,0.9
synthetic-bad,JavaScript,class,mECbunGgM,9,1
synthetic-bad,JavaScript,class,mhONSehus,9,1
synthetic-bad,Python,variable,ai44aes,7,0.75
synthetic-bad,Java,function,hYjoHegrW,9,0.85
synthetic-bad,Python,class,svsAELuXJl,10,1
synthetic-bad,Python,variable,aRBePOg,7,0.85
synthetic-bad,Java,variable,jEEADkL,7,0.75
synthetic-bad,Java,variable,se4343a,7,0.85
synthetic-bad,C#,function,zecdsuKIy,9,0.85
synthetic-bad,JavaScript,variable,ZLAhNiCL,8,1
synthetic-bad,Java,function,zucuINm,7,0.85
synthetic-bad,JavaScript,variable,eqlCODyyCogri,13,0.75
synthetic-bad,C#,variable,EprRicuCazJ,11,1
synthetic-bad,Python,function,XKzUgXPAndG,11,0.85
synthetic-bad,C#,variable,uleCircEBs,10,1
synthetic-bad,JavaScript,function,vepTvBioU,9,1
synthetic-bad,C#,variable,uWisEnSroRJMCeqK,16,1
synthetic-bad,JavaScript,class,vavTBRArVvC,11,1
synthetic-bad,C#,variable,lIBeuOy,7,1
synthetic-bad,JavaScript,function,UQDoRVIi,8,0.85
synthetic-bad,C#,variable,eiss1si,7,0.75
synthetic-bad,Python,variable,i50341oa,8,0.85
synthetic-bad,Java,function,MbXgeaPNLGUsTbOb,16,1
synthetic-bad,JavaScript,class,tUpEEYPyy,9,0.8
synthetic-bad,C#,function,a41iees,7,0.75
synthetic-bad,JavaScript,class,idDIgxk,7,1
synthetic-bad,C#,function,VXWawiDt,8,0.85
synthetic-bad,JavaScript,function,aaieoi3s,8,0.75
synthetic-bad,JavaScript,variable,lPwezJRKISmatEV,15,1
synthetic-bad,JavaScript,variable,jfbrEtfiEdJF,12,0.85
synthetic-bad,JavaScript,class,es40oaai,8,0.9
synthetic-bad,Python,variable,sCSIXZo,7,0.85
synthetic-bad,Python,variable,os105si,7,0.85
synthetic-bad,Python,function,soii5ai,7,0.75
synthetic-bad,Java,variable,AnhaAkDwUP,10,1
synthetic-bad,Python,variable,QejhfILItxMD,12,1
synthetic-bad,C#,variable,SMaIQPI,7,1
synthetic-bad,Python,variable,acAANWc,7,0.75
synthetic-bad,JavaScript,class,NiCwjdi,7,1
synthetic-bad,Java,function,cYtROKbluMczv,13,0.85
synthetic-bad,JavaScript,variable,eaiaae3s,8,0.9
synthetic-bad,Python,class,ease0oa,7,1
synthetic-bad,JavaScript,function,EzclaFU,7,0.85
synthetic-bad,JavaScript,class,qSZooTsZ,8,0.9
synthetic-bad,C#,variable,antguhjOsO,10,0.9
synthetic-bad,Python,function,xMaiEobttP,10,0.75
synthetic-bad,Java,variable,refysYU,7,0.85
synthetic-bad,C#,class,EWGbaWAF,8,1
synthetic-bad,JavaScript,variable,mNUdIIC,7,0.75
synthetic-bad,Python,class,sas0353e,8,1
synthetic-bad,Java,class,pAPUBLOITqW,11,0.9
synthetic-bad,Java,class,gWIfwTi,7,1
synthetic-bad,Python,function,ruKMIda,7,0.85
synthetic-bad,Python,function,PiTtaRd,7,0.85
synthetic-bad,Python,class,ZLlmavuT,8,1
synthetic-bad,Python,function,TfoPhOboFw,10,0.85
synthetic-bad,Python,class,jHSuciy,7,1
synthetic-bad,Java,variable,kEYrWhODgCa,11,0.85
synthetic-bad,JavaScript,variable,LXbUoUE,7,1
synthetic-bad,C#,class,gMuipTIcgOcSLav,15,1
synthetic-bad,JavaScript,function,DmZIJIsALo,10,0.85
synthetic-bad,JavaScript,class,ae3isoo,7,0.9
synthetic-bad,Python,variable,hjUGOsJ,7,0.85
synthetic-bad,Python,variable,tBEuOhmLPErI,12,0.85
synthetic-bad,JavaScript,class,cbAswHDoKn,10,1
synthetic-bad,JavaScript,class,s1403eo,7,1
synthetic-bad,Java,variable,iaoe01io,8,0.85
synthetic-bad,Java,class,MUtQfBunDn,10,1
synthetic-bad,JavaScript,variable,PeOnSOb,7,0.85
synthetic-bad,JavaScript,variable,eZlIAAOk,8,0.75
synthetic-bad,Java,variable,WOkdcelD,8,0.85
synthetic-bad,Java,variable,dFEAWbEdUutsGEe,15,0.85
synthetic-bad,Java,variable,LsAIMMEX,8,0.75
synthetic-bad,C#,variable,cCuhOgH,7,0.85
synthetic-bad,Java,variable,tJRnaeVj,8,0.85
synthetic-bad,C#,variable,see5aio,7,0.75
synthetic-bad,C#,variable,is4assoi,8,0.75
synthetic-bad,JavaScript,variable,TaLWoqE,7,0.85
synthetic-bad,JavaScript,function,NfHLoIcH,8,0.9
synthetic-bad,JavaScript,function,cLoDiDYsEYjS,12,0.85
synthetic-bad,C#,function,LifFVEtJj,9,0.85
synthetic-bad,Java,variable,pabVyWedGaOd,12,1
synthetic-bad,Java,variable,SORLymiYiKS,11,0.85
synthetic-bad,C#,function,qJOJGINr,8,1
synthetic-bad,Python,class,NOYIRHpaEhNInI,14,1
synthetic-bad,JavaScript,variable,reuADIAb,8,0.85
synthetic-bad,JavaScript,function,iRIDAoya,8,0.85
synthetic-bad,JavaScript,class,OveFDPh,7,1
synthetic-bad,Java,function,SOfpijS,7,0.75
synthetic-bad,Java,variable,RhNzobo,7,0.85
synthetic-bad,Python,variable,DyoCvUq,7,1
synthetic-bad,C#,function,ss53eeoe,8,0.65
synthetic-bad,JavaScript,variable,aVrMrEl,7,0.85
synthetic-bad,C#,function,SjoePxaQUakyEa,14,0.85
synthetic-bad,Java,variable,VCHOYlAB,8,0.85
synthetic-bad,C#,class,ae0isoss,8,0.9
synthetic-bad,JavaScript,function,QXoKiPde,8,0.85
synthetic-bad,Java,variable,tOFbmeyzrB,10,0.75
synthetic-bad,Java,variable,nOoTlpX,7,0.85
synthetic-bad,C#,function,LOtVUZeiru,10,0.85
synthetic-bad,JavaScript,class,bagIPAleAXzePX,14,1
synthetic-bad,Java,function,e13soiio,8,0.75
synthetic-bad,Python,variable,so343is,7,0.85
synthetic-bad,Python,variable,HYaOpVacyF,10,1
synthetic-bad,Java,class,hZWEeMf,7,1
synthetic-bad,Python,variable,oaee03i,7,0.75
synthetic-bad,JavaScript,function,os11oes,7,0.75
synthetic-bad,C#,class,OCNKawUtroanfE,14,0.9
synthetic-bad,Java,class,VmRotaQAfMA,11,1
synthetic-bad,Java,variable,AdNhelLUqBDu,12,1
synthetic-bad,C#,variable,see1ooo,7,0.65
synthetic-bad,Java,class,fssOCXuc,8,0.9
synthetic-bad,Java,function,HUSoyROB,8,0.85
synthetic-bad,Java,variable,KiuSirLuEFEQ,12,0.85
synthetic-bad,Java,function,NcDapcE,7,0.85
synthetic-bad,C#,function,YIHiWLesH,9,0.85
synthetic-bad,Java,function,tRuiHnolJ,9,0.85
synthetic-bad,Java,function,WIVeRrAklJH,11,0.85
synthetic-bad,Python,function,SGreSYrAdn,10,0.75
synthetic-bad,C#,function,yFnFEIITeXd,11,0.75
synthetic-bad,Python,function,VXuLrIdXw,9,0.85
synthetic-bad,C#,class,ijDgoINkEDaAb,13,1
synthetic-bad,Python,variable,ios115i,7,0.9
synthetic-bad,JavaScript,class,LOGFbya,7,1
synthetic-bad,Python,class,s115soe,7,0.9
synthetic-bad,C#,function,EdJotehXX,9,0.75
synthetic-bad,Java,class,EMcSPapT,8,1
synthetic-bad,Python,variable,foVaytJohY,10,0.85
synthetic-bad,Python,function,oBoCeTG,7,0.85
synthetic-bad,Java,function,oiLFViCest,10,0.85
synthetic-bad,Python,function,fACEofbK,8,0.85
synthetic-bad,C#,class,UiALxXs,7,1
synthetic-bad,Python,class,osoio0a,7,1
synthetic-bad,Python,variable,UthsLiVcfH,10,0.85
synthetic-bad,C#,function,mrasSBaHk,9,0.85
synthetic-bad,Python,class,s5154oe,7,1
synthetic-bad,JavaScript,class,EnDSmijo,8,1
synthetic-bad,C#,variable,io31iei,7,1
synthetic-bad,C#,variable,EmMOjwtG,8,0.85
synthetic-bad,Java,class,tnpZAWBa,8,1
synthetic-bad,Python,function,BXeTiRG,7,0.85
synthetic-bad,Python,function,uzfMbeNlYXE,11,0.85
synthetic-bad,JavaScript,function,SRUlMAw,7,1
synthetic-bad,JavaScript,function,i45501i,7,0.65
synthetic-bad,Python,class,jyPIVOSOfavR,12,1
synthetic-bad,C#,class,CEcgbFaSON,10,1
synthetic-bad,JavaScript,class,eose13o,7,1
synthetic-bad,Java,variable,TUdEzDuE,8,1
synthetic-bad,Java,variable,focKfOnT,8,0.85
synthetic-bad,Python,variable,aei1ass,7,0.75
synthetic-bad,C#,variable,CTKsOaiLnOI,11,0.85
synthetic-bad,C#,class,KyOONjQ,7,0.9
synthetic-bad,JavaScript,class,FLeEdJXL,8,1
synthetic-bad,Python,function,shXIEFV,7,0.85
synthetic-bad,C#,class,eao013e,7,1
synthetic-bad,C#,class,ZaHeaXpG,8,1
synthetic-bad,Java,variable,aRmMefswixgLj,13,0.75
synthetic-bad,C#,variable,UStRKoRJ,8,0.85
synthetic-bad,Python,class,tHkcUWvuN,9,1
synthetic-bad,Python,function,DsOcOTn,7,1
synthetic-bad,JavaScript,function,TeoMwMy,7,0.85
synthetic-bad,Java,class,e54030e,7,0.9
synthetic-bad,Python,function,wXCOSAvUC,9,0.85
synthetic-bad,C#,function,lwHisCJDiv,10,0.85
synthetic-bad,Python,variable,ai00011,7,0.75
synthetic-bad,C#,variable,sea3054s,8,1
synthetic-bad,JavaScript,variable,JortIelKNavVfr,14,1
synthetic-bad,C#,variable,BMnkula,7,1
synthetic-bad,JavaScript,class,GUzcebRt,8,1
synthetic-bad,Java,variable,nUnkUlQ,7,0.85
synthetic-bad,Java,class,GwdIVamlsAJaNil,15,1
synthetic-bad,Python,function,UFkzElhawnIAD,13,0.85
synthetic-bad,Python,variable,niftMAaRnfoD,12,1
synthetic-bad,Python,variable,PhoRqAzmR,9,0.85
synthetic-bad,JavaScript,class,sieeoo0i,8,0.9
synthetic-bad,Java,variable,ePVDoppCoWW,11,0.65
synthetic-bad,JavaScript,variable,ieo31eos,8,0.85
synthetic-bad,Java,class,ZDPdEEV,7,0.9
synthetic-bad,JavaScript,variable,eoi51se,7,1
synthetic-bad,Python,variable,jEGVeNd,7,0.85
synthetic-bad,C#,variable,lMurrII,7,0.8
synthetic-bad,Java,function,e545eoa,7,0.85
synthetic-bad,Python,class,yjRPOur,7,1
synthetic-bad,C#,function,eDkIHTGabeO,11,0.85
synthetic-bad,Python,function,tIFmNAP,7,0.85
synthetic-bad,JavaScript,function,AtPTCoR,7,0.85
synthetic-bad,JavaScript,variable,iUkangWz,8,0.85
synthetic-bad,Python,class,TOrEARx,7,1
synthetic-bad,Python,function,PunBNBaCh,9,1
