code,readability_level
"class TestToKeyValList:
    @pytest.mark.parametrize(
        ""value, expected"",
        (
            ([(""key"", ""val"")], [(""key"", ""val"")]),
            (((""key"", ""val""),), [(""key"", ""val"")]),
            ({""key"": ""val""}, [(""key"", ""val"")]),
            (None, None),
        ),
    )
    def test_valid(self, value, expected):
        assert to_key_val_list(value) == expected

    def test_invalid(self):
        with pytest.raises(ValueError):
            to_key_val_list(""string"")",High
"class TestUnquoteHeaderValue:
    @pytest.mark.parametrize(
        ""value, expected"",
        (
            (None, None),
            (""Test"", ""Test""),
            ('""Test""', ""Test""),
            ('""Test\\\\""', ""Test\\""),
            ('""\\\\Comp\\Res""', ""\\Comp\\Res""),
        ),
    )
    def test_valid(self, value, expected):
        assert unquote_header_value(value) == expected

    def test_is_filename(self):
        assert unquote_header_value('""\\\\Comp\\Res""', True) == ""\\\\Comp\\Res""",High
"class TestIsIPv4Address:
    def test_valid(self):
        assert is_ipv4_address(""8.8.8.8"")

    @pytest.mark.parametrize(""value"", (""8.8.8.8.8"", ""localhost.localdomain""))
    def test_invalid(self, value):
        assert not is_ipv4_address(value)",High
"class TestIsValidCIDR:
    def test_valid(self):
        assert is_valid_cidr(""192.168.1.0/24"")

    @pytest.mark.parametrize(
        ""value"",
        (
            ""8.8.8.8"",
            ""192.168.1.0/a"",
            ""192.168.1.0/128"",
            ""192.168.1.0/-1"",
            ""192.168.1.999/24"",
        ),
    )
    def test_invalid(self, value):
        assert not is_valid_cidr(value)",Medium
"class TestAddressInNetwork:
    def test_valid(self):
        assert address_in_network(""192.168.1.1"", ""192.168.1.0/24"")

    def test_invalid(self):
        assert not address_in_network(""172.16.0.1"", ""192.168.1.0/24"")",High
"class TestGuessFilename:
    @pytest.mark.parametrize(
        ""value"",
        (1, type(""Fake"", (object,), {""name"": 1})()),
    )
    def test_guess_filename_invalid(self, value):
        assert guess_filename(value) is None

    @pytest.mark.parametrize(
        ""value, expected_type"",
        (
            (b""value"", compat.bytes),
            (b""value"".decode(""utf-8""), compat.str),
        ),
    )
    def test_guess_filename_valid(self, value, expected_type):
        obj = type(""Fake"", (object,), {""name"": value})()
        result = guess_filename(obj)
        assert result == value
        assert isinstance(result, expected_type)",High
"class TestExtractZippedPaths:
    @pytest.mark.parametrize(
        ""path"",
        (
            ""/"",
            __file__,
            pytest.__file__,
            ""/etc/invalid/location"",
        ),
    )
    def test_unzipped_paths_unchanged(self, path):
        assert path == extract_zipped_paths(path)

    def test_zipped_paths_extracted(self, tmpdir):
        zipped_py = tmpdir.join(""test.zip"")
        with zipfile.ZipFile(zipped_py.strpath, ""w"") as f:
            f.write(__file__)

        _, name = os.path.splitdrive(__file__)
        zipped_path = os.path.join(zipped_py.strpath, name.lstrip(r""\/""))
        extracted_path = extract_zipped_paths(zipped_path)

        try:
            assert extracted_path != zipped_path
            assert os.path.exists(extracted_path)
            assert filecmp.cmp(extracted_path, __file__)
        finally:
            os.remove(extracted_path)

    def test_invalid_unc_path(self):
        path = r""\\localhost\invalid\location""
        assert extract_zipped_paths(path) == path",Medium
"class TestContentEncodingDetection:
    def test_none(self):
        encodings = get_encodings_from_content("""")
        assert not len(encodings)

    @pytest.mark.parametrize(
        ""content"",
        (
            # HTML5 meta charset attribute
            '<meta charset=""UTF-8"">',
            # HTML4 pragma directive
            '<meta http-equiv=""Content-type"" content=""text/html;charset=UTF-8"">',
            # XHTML 1.x served with text/html MIME type
            '<meta http-equiv=""Content-type"" content=""text/html;charset=UTF-8"" />',
            # XHTML 1.x served as XML
            '<?xml version=""1.0"" encoding=""UTF-8""?>',
        ),
    )
    def test_pragmas(self, content):
        encodings = get_encodings_from_content(content)
        assert len(encodings) == 1
        assert encodings[0] == ""UTF-8""

    def test_precedence(self):
        content = """"""
        <?xml version=""1.0"" encoding=""XML""?>
        <meta charset=""HTML5"">
        <meta http-equiv=""Content-type"" content=""text/html;charset=HTML4"" />
        """""".strip()
        assert get_encodings_from_content(content) == [""HTML5"", ""HTML4"", ""XML""]",High
"def test_get_auth_from_url(url, auth):
    assert get_auth_from_url(url) == auth


@pytest.mark.parametrize(
    ""uri, expected"",
    (
        (
            # Ensure requoting doesn't break expectations
            ""http://example.com/fiz?buz=%25ppicture"",
            ""http://example.com/fiz?buz=%25ppicture"",
        ),
        (
            # Ensure we handle unquoted percent signs in redirects
            ""http://example.com/fiz?buz=%ppicture"",
            ""http://example.com/fiz?buz=%25ppicture"",
        ),
    ),
)",High
"def test_requote_uri_with_unquoted_percents(uri, expected):
    """"""See: https://github.com/psf/requests/issues/2356""""""
    assert requote_uri(uri) == expected


@pytest.mark.parametrize(
    ""uri, expected"",
    (
        (
            # Illegal bytes
            ""http://example.com/?a=%--"",
            ""http://example.com/?a=%--"",
        ),
        (
            # Reserved characters
            ""http://example.com/?a=%300"",
            ""http://example.com/?a=00"",
        ),
    ),
)",High
"def test_unquote_unreserved(uri, expected):
    assert unquote_unreserved(uri) == expected


@pytest.mark.parametrize(
    ""mask, expected"",
    (
        (8, ""255.0.0.0""),
        (24, ""255.255.255.0""),
        (25, ""255.255.255.128""),
    ),
)",High
"def test_select_proxies(url, expected, proxies):
    """"""Make sure we can select per-host proxies correctly.""""""
    assert select_proxy(url, proxies) == expected


@pytest.mark.parametrize(
    ""value, expected"",
    (
        ('foo=""is a fish"", bar=""as well""', {""foo"": ""is a fish"", ""bar"": ""as well""}),
        (""key_without_value"", {""key_without_value"": None}),
    ),
)",Medium
"def test__parse_content_type_header(value, expected):
    assert _parse_content_type_header(value) == expected


@pytest.mark.parametrize(
    ""value, expected"",
    (
        (CaseInsensitiveDict(), None),
        (
            CaseInsensitiveDict({""content-type"": ""application/json; charset=utf-8""}),
            ""utf-8"",
        ),
        (CaseInsensitiveDict({""content-type"": ""text/plain""}), ""ISO-8859-1""),
        (
            CaseInsensitiveDict({""content-type"": ""text/html; charset""}),
            ""ISO-8859-1"",
        ),
    ),
)",High
"def test_get_encoding_from_headers(value, expected):
    assert get_encoding_from_headers(value) == expected


@pytest.mark.parametrize(
    ""value, length"",
    (
        ("""", 0),
        (""T"", 1),
        (""Test"", 4),
        (""Cont"", 0),
        (""Other"", -5),
        (""Content"", None),
    ),
)",Medium
"def test_iter_slices(value, length):
    if length is None or (length <= 0 and len(value) > 0):
        # Reads all content at once
        assert len(list(iter_slices(value, length))) == 1
    else:
        assert len(list(iter_slices(value, 1))) == length


@pytest.mark.parametrize(
    ""value, expected"",
    (
        (
            '<http:/.../front.jpeg>; rel=front; type=""image/jpeg""',
            [{""url"": ""http:/.../front.jpeg"", ""rel"": ""front"", ""type"": ""image/jpeg""}],
        ),
        (""<http:/.../front.jpeg>"", [{""url"": ""http:/.../front.jpeg""}]),
        (""<http:/.../front.jpeg>;"", [{""url"": ""http:/.../front.jpeg""}]),
        (
            '<http:/.../front.jpeg>; type=""image/jpeg"",<http://.../back.jpeg>;',
            [
                {""url"": ""http:/.../front.jpeg"", ""type"": ""image/jpeg""},
                {""url"": ""http://.../back.jpeg""},
            ],
        ),
        ("""", []),
    ),
)",Medium
"def test_parse_header_links(value, expected):
    assert parse_header_links(value) == expected


@pytest.mark.parametrize(
    ""value, expected"",
    (
        (""example.com/path"", ""http://example.com/path""),
        (""//example.com/path"", ""http://example.com/path""),
        (""example.com:80"", ""http://example.com:80""),
        (
            ""http://user:pass@example.com/path?query"",
            ""http://user:pass@example.com/path?query"",
        ),
        (""http://user@example.com/path?query"", ""http://user@example.com/path?query""),
    ),
)",High
"def test_prepend_scheme_if_needed(value, expected):
    assert prepend_scheme_if_needed(value, ""http"") == expected


@pytest.mark.parametrize(
    ""value, expected"",
    (
        (""T"", ""T""),
        (b""T"", ""T""),
        (""T"", ""T""),
    ),
)",Medium
"def test_to_native_string(value, expected):
    assert to_native_string(value) == expected


@pytest.mark.parametrize(
    ""url, expected"",
    (
        (""http://u:p@example.com/path?a=1#test"", ""http://example.com/path?a=1""),
        (""http://example.com/path"", ""http://example.com/path""),
        (""//u:p@example.com/path"", ""//example.com/path""),
        (""//example.com/path"", ""//example.com/path""),
        (""example.com/path"", ""//example.com/path""),
        (""scheme:u:p@example.com/path"", ""scheme://example.com/path""),
    ),
)",Low
"def test_urldefragauth(url, expected):
    assert urldefragauth(url) == expected


@pytest.mark.parametrize(
    ""url, expected"",
    (
        (""http://192.168.0.1:5000/"", True),
        (""http://192.168.0.1/"", True),
        (""http://172.16.1.1/"", True),
        (""http://172.16.1.1:5000/"", True),
        (""http://localhost.localdomain:5000/v1.0/"", True),
        (""http://google.com:6000/"", True),
        (""http://172.16.1.12/"", False),
        (""http://172.16.1.12:5000/"", False),
        (""http://google.com:5000/v1.0/"", False),
        (""file:///some/path/on/disk"", True),
    ),
)",High
"def test_should_bypass_proxies(url, expected, monkeypatch):
    """"""Tests for function should_bypass_proxies to check if proxy
    can be bypassed or not
    """"""
    monkeypatch.setenv(
        ""no_proxy"",
        ""192.168.0.0/24,127.0.0.1,localhost.localdomain,172.16.1.1, google.com:6000"",
    )
    monkeypatch.setenv(
        ""NO_PROXY"",
        ""192.168.0.0/24,127.0.0.1,localhost.localdomain,172.16.1.1, google.com:6000"",
    )
    assert should_bypass_proxies(url, no_proxy=None) == expected


@pytest.mark.parametrize(
    ""url, expected"",
    (
        (""http://172.16.1.1/"", ""172.16.1.1""),
        (""http://172.16.1.1:5000/"", ""172.16.1.1""),
        (""http://user:pass@172.16.1.1"", ""172.16.1.1""),
        (""http://user:pass@172.16.1.1:5000"", ""172.16.1.1""),
        (""http://hostname/"", ""hostname""),
        (""http://hostname:5000/"", ""hostname""),
        (""http://user:pass@hostname"", ""hostname""),
        (""http://user:pass@hostname:5000"", ""hostname""),
    ),
)",High
"def test_should_bypass_proxies_pass_only_hostname(url, expected):
    """"""The proxy_bypass function should be called with a hostname or IP without
    a port number or auth credentials.
    """"""
    with mock.patch(""requests.utils.proxy_bypass"") as proxy_bypass:
        should_bypass_proxies(url, no_proxy=None)
        proxy_bypass.assert_called_once_with(expected)


@pytest.mark.parametrize(
    ""cookiejar"",
    (
        compat.cookielib.CookieJar(),
        RequestsCookieJar(),
    ),
)",Medium
"def test_add_dict_to_cookiejar(cookiejar):
    """"""Ensure add_dict_to_cookiejar works for
    non-RequestsCookieJar CookieJars
    """"""
    cookiedict = {""test"": ""cookies"", ""good"": ""cookies""}
    cj = add_dict_to_cookiejar(cookiejar, cookiedict)
    cookies = {cookie.name: cookie.value for cookie in cj}
    assert cookiedict == cookies


@pytest.mark.parametrize(
    ""value, expected"",
    (
        (""test"", True),
        (""æíöû"", False),
        (""ジェーピーニック"", False),
    ),
)",High
"def test_unicode_is_ascii(value, expected):
    assert unicode_is_ascii(value) is expected


@pytest.mark.parametrize(
    ""url, expected"",
    (
        (""http://192.168.0.1:5000/"", True),
        (""http://192.168.0.1/"", True),
        (""http://172.16.1.1/"", True),
        (""http://172.16.1.1:5000/"", True),
        (""http://localhost.localdomain:5000/v1.0/"", True),
        (""http://172.16.1.12/"", False),
        (""http://172.16.1.12:5000/"", False),
        (""http://google.com:5000/v1.0/"", False),
    ),
)",High
"def test_should_bypass_proxies_no_proxy(url, expected, monkeypatch):
    """"""Tests for function should_bypass_proxies to check if proxy
    can be bypassed or not using the 'no_proxy' argument
    """"""
    no_proxy = ""192.168.0.0/24,127.0.0.1,localhost.localdomain,172.16.1.1""
    # Test 'no_proxy' argument
    assert should_bypass_proxies(url, no_proxy=no_proxy) == expected


@pytest.mark.parametrize(
    ""url, expected"",
    (
        (""http://localhost/"", True),
        (""http://anotherdomain.com:8888/"", True),
        (""http://newdomain.com:1234/"", True),
        (""http://www.newdomain.com:1234/"", True),
        (""http://foo.d.o.t/"", True),
        (""http://d.o.t/"", True),
        (""http://prelocalhost/"", False),
        (""http://newdomain.com/"", False),
        (""http://newdomain.com:1235/"", False),
    ),
)",Medium
"def test_should_bypass_proxies_no_proxy_domain_boundary(url, expected):
    """"""Ensure no_proxy matching respects domain boundaries and does not
    greedily match domains that merely endswith the no_proxy entry.
    See CPython bpo-39057.
    """"""
    no_proxy = ""localhost, anotherdomain.com, newdomain.com:1234, .d.o.t""
    assert should_bypass_proxies(url, no_proxy=no_proxy) == expected


@pytest.mark.skipif(os.name != ""nt"", reason=""Test only on Windows"")
@pytest.mark.parametrize(
    ""url, expected, override"",
    (
        (""http://192.168.0.1:5000/"", True, None),
        (""http://192.168.0.1/"", True, None),
        (""http://172.16.1.1/"", True, None),
        (""http://172.16.1.1:5000/"", True, None),
        (""http://localhost.localdomain:5000/v1.0/"", True, None),
        (""http://172.16.1.22/"", False, None),
        (""http://172.16.1.22:5000/"", False, None),
        (""http://google.com:5000/v1.0/"", False, None),
        (""http://mylocalhostname:5000/v1.0/"", True, ""<local>""),
        (""http://192.168.0.1/"", False, """"),
    ),
)",High
"def test_set_environ(env_name, value):
    """"""Tests set_environ will set environ values and will restore the environ.""""""
    environ_copy = copy.deepcopy(os.environ)
    with set_environ(env_name, value):
        assert os.environ.get(env_name) == value

    assert os.environ == environ_copy",High
"def test_set_environ_raises_exception():
    """"""Tests set_environ will raise exceptions in context when the
    value parameter is None.""""""
    with pytest.raises(Exception) as exception:
        with set_environ(""test1"", None):
            raise Exception(""Expected exception"")

    assert ""Expected exception"" in str(exception.value)


@pytest.mark.skipif(os.name != ""nt"", reason=""Test only on Windows"")",High
"def test_should_bypass_proxies_win_registry_ProxyOverride_value(monkeypatch):
    """"""Tests for function should_bypass_proxies to check if proxy
    can be bypassed or not with Windows ProxyOverride registry value ending with a semicolon.
    """"""
    import winreg

    class RegHandle:
        def Close(self):
            pass

    ie_settings = RegHandle()

    def OpenKey(key, subkey):
        return ie_settings

    def QueryValueEx(key, value_name):
        if key is ie_settings:
            if value_name == ""ProxyEnable"":
                return [1]
            elif value_name == ""ProxyOverride"":
                return [
                    ""192.168.*;127.0.0.1;localhost.localdomain;172.16.1.1;<-loopback>;""
                ]

    monkeypatch.setenv(""NO_PROXY"", """")
    monkeypatch.setenv(""no_proxy"", """")
    monkeypatch.setattr(winreg, ""OpenKey"", OpenKey)
    monkeypatch.setattr(winreg, ""QueryValueEx"", QueryValueEx)
    assert should_bypass_proxies(""http://example.com/"", None) is False",High
"def consume_socket_content(sock, timeout=0.5):
    chunks = 65536
    content = b""""

    while True:
        more_to_read = select.select([sock], [], [], timeout)[0]
        if not more_to_read:
            break

        new_content = sock.recv(chunks)
        if not new_content:
            break

        content += new_content

    return content",High
"def override_environ(**kwargs):
    save_env = dict(os.environ)
    for key, value in kwargs.items():
        if value is None:
            del os.environ[key]
        else:
            os.environ[key] = value
    try:
        yield
    finally:
        os.environ.clear()
        os.environ.update(save_env)",High
"def determine_version_specifier() -> str:
    """"""Determine the version of Black to install.

    The version can be specified either via the `with.version` input or via the
    pyproject.toml file if `with.use_pyproject` is set to `true`.
    """"""
    if USE_PYPROJECT and VERSION:
        print(
            ""::error::'with.version' and 'with.use_pyproject' inputs are ""
            ""mutually exclusive."",
            file=sys.stderr,
            flush=True,
        )
        sys.exit(1)
    if USE_PYPROJECT:
        return read_version_specifier_from_pyproject()
    elif VERSION and VERSION[0] in ""0123456789"":
        return f""=={VERSION}""
    else:
        return VERSION",High
"def make_pypi_svg(version: str) -> None:
    template: Path = CURRENT_DIR / ""_static"" / ""pypi_template.svg""
    target: Path = CURRENT_DIR / ""_static"" / ""pypi.svg""
    with open(str(template), encoding=""utf8"") as f:
        svg: str = string.Template(f.read()).substitute(version=version)
    with open(str(target), ""w"", encoding=""utf8"") as f:
        f.write(svg)",Medium
"def replace_pr_numbers_with_links(content: str) -> str:
    """"""Replaces all PR numbers with the corresponding GitHub link.""""""
    return re.sub(r""#(\d+)"", r""[#\1](https://github.com/psf/black/pull/\1)"", content)",Medium
"def handle_include_read(
    app: Sphinx,
    relative_path: Path,
    parent_docname: str,
    content: list[str],
) -> None:
    """"""Handler for the include-read sphinx event.""""""
    if parent_docname == ""change_log"":
        content[0] = replace_pr_numbers_with_links(content[0])",High
"def set_output(name: str, value: str) -> None:
    if len(value) < 200:
        print(f""[INFO]: setting '{name}' to '{value}'"")
    else:
        print(f""[INFO]: setting '{name}' to [{len(value)} chars]"")

    if ""GITHUB_OUTPUT"" in os.environ:
        if ""\n"" in value:
            # https://docs.github.com/en/actions/using-workflows/workflow-commands-for-github-actions#multiline-strings
            delimiter = b64encode(os.urandom(16)).decode()
            value = f""{delimiter}\n{value}\n{delimiter}""
            command = f""{name}<<{value}""
        else:
            command = f""{name}={value}""
        with open(os.environ[""GITHUB_OUTPUT""], ""a"") as f:
            print(command, file=f)",Medium
"def http_get(url: str, *, is_json: bool = True, **kwargs: Any) -> Any:
    headers = kwargs.get(""headers"") or {}
    headers[""User-Agent""] = USER_AGENT
    if ""github"" in url:
        if GH_API_TOKEN:
            headers[""Authorization""] = f""token {GH_API_TOKEN}""
        headers[""Accept""] = ""application/vnd.github.v3+json""
    kwargs[""headers""] = headers

    r = http.request(""GET"", url, **kwargs)
    if is_json:
        data = json.loads(r.data.decode(""utf-8""))
    else:
        data = r.data
    print(f""[INFO]: issued GET request for {r.geturl()}"")
    if not (200 <= r.status < 300):
        pprint.pprint(dict(r.info()))
        pprint.pprint(data)
        raise RuntimeError(f""unexpected status code: {r.status}"")

    return data",Medium
"def get_latest_revision(ref: str) -> str:
    data = http_get(
        f""https://api.github.com/repos/{REPO}/commits"",
        fields={""per_page"": ""1"", ""sha"": ref},
    )
    assert isinstance(data[0][""sha""], str)
    return data[0][""sha""]",High
"def get_pr_branches(pr: int | None = None) -> tuple[Any, Any, int]:
    if not pr:
        pr_ref = os.getenv(""GITHUB_REF"")
        assert pr_ref is not None
        pr = int(pr_ref[10:-6])

    data = http_get(f""https://api.github.com/repos/{REPO}/pulls/{pr}"")
    assert isinstance(data[""base""][""sha""], str)
    assert isinstance(data[""head""][""sha""], str)
    return data[""base""], data[""head""], pr",Medium
"def get_pypi_version() -> Version:
    data = http_get(""https://pypi.org/pypi/black/json"")
    versions = [Version(v) for v in data[""releases""]]
    sorted_versions = sorted(versions, reverse=True)
    return sorted_versions[0]


@click.group()",Medium
"def main() -> None:
    pass


@main.command(""config"", help=""Acquire run configuration and metadata."")",High
"def comment_details(pr: int, run_id: str, styles: tuple[str, ...]) -> None:
    base, head, _ = get_pr_branches(pr)

    lines = [
        f""**diff-shades** results comparing this PR ({head['sha']}) to {base['ref']}""
        f"" ({base['sha']}):""
    ]
    for style_file in styles:
        with open(
            join(dirname(__file__), "".."", style_file),
            ""r"",
            encoding=""utf-8"",
        ) as f:
            content = f.read()
            lines.append(content)

    lines.append(""---"")

    lines.append(
        f""[**What is this?**]({DOCS_URL}) | ""
        f""[Workflow run](https://github.com/psf/black/actions/runs/{run_id}) | ""
        ""[diff-shades documentation](https://github.com/ichard26/diff-shades#readme)""
    )

    body = ""\n\n"".join(lines)
    set_output(""comment-body"", body)


if __name__ == ""__main__"":
    main()",Medium
"def main(schemastore: bool, outfile: IO[str]) -> None:
    properties = generate_schema_from_click(black.main)
    del properties[""line-ranges""]

    schema: dict[str, Any] = {
        ""$schema"": ""http://json-schema.org/draft-07/schema#"",
        ""$id"": (
            ""https://github.com/psf/black/blob/main/src/black/resources/black.schema.json""
        ),
        ""$comment"": ""tool.black table in pyproject.toml"",
        ""type"": ""object"",
        ""additionalProperties"": False,
        ""properties"": properties,
    }

    if schemastore:
        schema[""$id""] = ""https://json.schemastore.org/partial-black.json""
        # The precise list of unstable features may change frequently, so don't
        # bother putting it in SchemaStore
        schema[""properties""][""enable-unstable-feature""][""items""] = {""type"": ""string""}

    print(json.dumps(schema, indent=2), file=outfile)


if __name__ == ""__main__"":
    main()",High
"def make_width_table() -> Iterable[tuple[int, int, int]]:
    start_codepoint = -1
    end_codepoint = -1
    range_width = -2
    for codepoint in range(0, sys.maxunicode + 1):
        width = wcwidth.wcwidth(chr(codepoint))
        if width <= 1:
            # Ignore narrow characters along with zero-width characters so that
            # they are treated as single-width.  Note that treating zero-width
            # characters as single-width is consistent with the heuristics built
            # on top of str.isascii() in the str_width() function in strings.py.
            continue
        if start_codepoint < 0:
            start_codepoint = codepoint
            range_width = width
        elif width != range_width or codepoint != end_codepoint + 1:
            yield (start_codepoint, end_codepoint, range_width)
            start_codepoint = codepoint
            range_width = width
        end_codepoint = codepoint
    if start_codepoint >= 0:
        yield (start_codepoint, end_codepoint, range_width)",High
"def main() -> None:
    table_path = join(dirname(__file__), "".."", ""src"", ""black"", ""_width_table.py"")
    with open(table_path, ""w"") as f:
        f.write(f""""""# Generated by {basename(__file__)}
# wcwidth {wcwidth.__version__}
# Unicode {wcwidth.list_versions()[-1]}
from typing import Final

WIDTH_TABLE: Final[list[tuple[int, int, int]]] = [
"""""")
        for triple in make_width_table():
            f.write(f""    {triple!r},\n"")
        f.write(""]\n"")


if __name__ == ""__main__"":
    main()",High
"def git(*args: str) -> str:
    return check_output([""git"", *args]).decode(""utf8"").strip()",Medium
"class NoGitTagsError(Exception): ...


# TODO: Do better with alpha + beta releases
# Maybe we vendor packaging library",High
"def get_git_tags(versions_only: bool = True) -> list[str]:
    """"""Pull out all tags or calvers only""""""
    cp = run([""git"", ""tag""], capture_output=True, check=True, encoding=""utf8"")
    if not cp.stdout:
        LOG.error(f""Returned no git tags stdout: {cp.stderr}"")
        raise NoGitTagsError
    git_tags = cp.stdout.splitlines()
    if versions_only:
        return [t for t in git_tags if t[0].isdigit()]
    return git_tags


# TODO: Support sorting alpha/beta releases correctly",High
"def tuple_calver(calver: str) -> tuple[int, ...]:  # mypy can't notice maxsplit below
    """"""Convert a calver string into a tuple of ints for sorting""""""
    try:
        return tuple(map(int, calver.split(""."", maxsplit=2)))
    except ValueError:
        return (0, 0, 0)",Medium
"def _handle_debug(debug: bool) -> None:
    """"""Turn on debugging if asked otherwise INFO default""""""
    log_level = logging.DEBUG if debug else logging.INFO
    logging.basicConfig(
        format=""[%(asctime)s] %(levelname)s: %(message)s (%(filename)s:%(lineno)d)"",
        level=log_level,
    )",Medium
"def parse_args() -> argparse.Namespace:
    parser = argparse.ArgumentParser()
    parser.add_argument(
        ""-a"",
        ""--add-changes-template"",
        action=""store_true"",
        help=""Add the Unreleased template to CHANGES.md"",
    )
    parser.add_argument(
        ""-d"", ""--debug"", action=""store_true"", help=""Verbose debug output""
    )
    args = parser.parse_args()
    _handle_debug(args.debug)
    return args",Medium
"def main() -> int:
    args = parse_args()

    # Need parent.parent cause script is in scripts/ directory
    sf = SourceFiles(Path(__file__).parent.parent)

    if args.add_changes_template:
        return sf.add_template_to_changes()

    LOG.info(f""Current version detected to be {sf.current_version}"")
    LOG.info(f""Next version will be {sf.next_version}"")
    return sf.update_repo_for_release()


if __name__ == ""__main__"":  # pragma: no cover
    sys.exit(main())",High
"class FakeDateTime:
    """"""Used to mock the date to test generating next calver function""""""

    def today(*args: Any, **kwargs: Any) -> ""FakeDateTime"":  # noqa: B902
        return FakeDateTime()

    # Add leading 0 on purpose to ensure we remove it
    def strftime(*args: Any, **kwargs: Any) -> str:  # noqa: B902
        return ""69.01""",High
"class WriteBack(Enum):
    NO = 0
    YES = 1
    DIFF = 2
    CHECK = 3
    COLOR_DIFF = 4

    @classmethod
    def from_configuration(
        cls, *, check: bool, diff: bool, color: bool = False
    ) -> ""WriteBack"":
        if check and not diff:
            return cls.CHECK

        if diff and color:
            return cls.COLOR_DIFF

        return cls.DIFF if diff else cls.YES


# Legacy name, left for integrations.
FileMode = Mode",High
"def spellcheck_pyproject_toml_keys(
    ctx: click.Context, config_keys: list[str], config_file_path: str
) -> None:
    invalid_keys: list[str] = []
    available_config_options = {param.name for param in ctx.command.params}
    invalid_keys = [key for key in config_keys if key not in available_config_options]
    if invalid_keys:
        keys_str = "", "".join(map(repr, invalid_keys))
        out(
            f""Invalid config keys detected: {keys_str} (in {config_file_path})"",
            fg=""red"",
        )",High
"def target_version_option_callback(
    c: click.Context, p: click.Option | click.Parameter, v: tuple[str, ...]
) -> list[TargetVersion]:
    """"""Compute the target versions from a --target-version flag.

    This is its own function because mypy couldn't infer the type correctly
    when it was a lambda, causing mypyc trouble.
    """"""
    return [TargetVersion[val.upper()] for val in v]",Medium
"def _target_versions_exceed_runtime(
    target_versions: set[TargetVersion],
) -> bool:
    if not target_versions:
        return False
    max_target_minor = max(tv.value for tv in target_versions)
    return max_target_minor > sys.version_info[1]",High
"def _version_mismatch_message(target_versions: set[TargetVersion]) -> str:
    max_target = max(target_versions, key=lambda tv: tv.value)
    runtime = f""{sys.version_info[0]}.{sys.version_info[1]}""
    return (
        f""Python {runtime} cannot parse code formatted for""
        f"" {max_target.pretty()}. To fix this: run Black with""
        f"" {max_target.pretty()}, set --target-version to""
        f"" py3{sys.version_info[1]}, or use --fast to skip the safety""
        "" check.""
    )",Medium
"def enable_unstable_feature_callback(
    c: click.Context, p: click.Option | click.Parameter, v: tuple[str, ...]
) -> list[Preview]:
    """"""Compute the features from an --enable-unstable-feature flag.""""""
    return [Preview[val] for val in v]",Medium
"def re_compile_maybe_verbose(regex: str) -> Pattern[str]:
    """"""Compile a regular expression string in `regex`.

    If it contains newlines, use verbose mode.
    """"""
    if ""\n"" in regex:
        regex = ""(?x)"" + regex
    compiled: Pattern[str] = re.compile(regex)
    return compiled",Medium
"def reformat_code(
    content: str,
    fast: bool,
    write_back: WriteBack,
    mode: Mode,
    report: Report,
    *,
    lines: Collection[tuple[int, int]] = (),
) -> None:
    """"""
    Reformat and print out `content` without spawning child processes.
    Similar to `reformat_one`, but for string content.

    `fast`, `write_back`, and `mode` options are passed to
    :func:`format_file_in_place` or :func:`format_stdin_to_stdout`.
    """"""
    path = Path(""<string>"")
    try:
        changed = Changed.NO
        if format_stdin_to_stdout(
            content=content, fast=fast, write_back=write_back, mode=mode, lines=lines
        ):
            changed = Changed.YES
        report.done(path, changed)
    except Exception as exc:
        if report.verbose:
            traceback.print_exc()
        report.failed(path, str(exc))


# diff-shades depends on being to monkeypatch this function to operate. I know it's
# not ideal, but this shouldn't cause any issues ... hopefully. ~ichard26
@mypyc_attr(patchable=True)",High
"def check_stability_and_equivalence(
    src_contents: str,
    dst_contents: str,
    *,
    mode: Mode,
    lines: Collection[tuple[int, int]] = (),
) -> None:
    """"""Perform stability and equivalence checks.

    Raise AssertionError if source and destination contents are not
    equivalent, or if a second pass of the formatter would format the
    content differently.
    """"""
    try:
        assert_equivalent(src_contents, dst_contents)
    except SourceASTParseError:
        raise
    except ASTSafetyError:
        if _target_versions_exceed_runtime(mode.target_versions):
            raise ASTSafetyError(
                ""failed to verify equivalence of the formatted output:""
                f"" {_version_mismatch_message(mode.target_versions)}""
            ) from None
        raise
    assert_stable(src_contents, dst_contents, mode=mode, lines=lines)",High
"def format_file_contents(
    src_contents: str,
    *,
    fast: bool,
    mode: Mode,
    lines: Collection[tuple[int, int]] = (),
) -> FileContent:
    """"""Reformat contents of a file and return new contents.

    If `fast` is False, additionally confirm that the reformatted code is
    valid by calling :func:`assert_equivalent` and :func:`assert_stable` on it.
    `mode` is passed to :func:`format_str`.
    """"""
    if mode.is_ipynb:
        dst_contents = format_ipynb_string(src_contents, fast=fast, mode=mode)
    else:
        dst_contents = format_str(src_contents, mode=mode, lines=lines)
    if src_contents == dst_contents:
        raise NothingChanged

    if not fast and not mode.is_ipynb:
        # Jupyter notebooks will already have been checked above.
        check_stability_and_equivalence(
            src_contents, dst_contents, mode=mode, lines=lines
        )
    return dst_contents",High
